0,,0,0
1,Abanindranath Tagore,5,0
2,Muhammad Abdul Bari|Abdul Bari,3,2
3,Abdul Hamid Khan Bhashani,11,4
4,Abdullah Abu Sayeed,1,3
5,A. C. Bhaktivedanta Swami Prabhupada,1,8
6,A. K. Fazlul Huq,9,2
7,Akram Khan |Akram Khan,0,0
8,Alaol,0,0
9,Allauddin Khan,5,2
10,Ali Akbar Khan,3,0
11,Amar Bose,0,0
12,Amartya Sen,17,1
13,Amitav Ghosh,3,2
14,Anandamayi Ma,3,4
15,Anirvan,1,0
16,Arundhati Roy,4,2
17,Ashok Kumar,3,4
18,Atiśa,8,0
19,Avijit Roy,2,2
20,Azizul Haque,3,1
21,Bagha Jatin,6,5
22,Bankim Chandra Chattopadhyay,11,0
23,Bipasha Basu,1,5
24,Brojen Das,8,0
25,Chaitanya Mahaprabhu,7,3
26,Dola Banerjee,1,0
27,Fazle Hasan Abed,9,0
28,Fazlur Rahman Khan,10,0
29,Gobar Guha,3,5
30,Gopala I  {{n.b.}} No Image,1,0
31,Haji Shariatullah,1,2
32,Hason Raja,7,2
33,Humayun Ahmed,9,3
34,Huseyn Shaheed Suhrawardy,3,2
35,Irene Khan,14,1
36,Ishwar Chandra Vidyasagar,10,1
37,Jagadish Chandra Bose,13,1
38,Jamal Nazrul Islam,3,1
39,Jasimuddin,8,2
40,Jawed Karim,9,0
41,Jhumpa Lahiri,4,2
42,Jibanananda Das,2,1
43,Kazi Nazrul Islam,15,0
44,Khwaja Salimullah,0,3
45,Kishore Kumar,4,1
46,Lalon,10,1
47,M. A. G. Osmani,1,0
48,Mani Lal Bhaumik,2,5
49,Maqsudul Alam,1,1
50,Meghnad Saha,10,0
51,Michael Madhusudan Dutt,6,3
52,Mir Mosharraf Hossain,3,0
53,Muhammad Mohsin,2,1
54,Muhammad Qudrat-i-Khuda,6,1
55,Muhammad Shahidullah,5,0
56,Muhammad Yunus,16,0
57,Nafees Bin Zafar,3,0
58,Nandalal Bose,2,2
59,Nawab Abdul Latif,3,1
60,Nirad C. Chaudhuri,0,1
61,Pankaj Roy,0,0
62,P. C. Sorcar,6,3
63,Pola Uddin Baroness Uddin,4,0
64,Pranab Mukherjee,4,1
65,Qazi Motahar Hossain,0,0
66,Raakhee,1,1
67,Rabindranath Tagore,15,0
68,Raja Ganesha,2,5
69,R. C. Majumdar,2,1
70,Ram Mohan Roy,13,1
71,Rania Khan,0,1
72,Ramakrishna,6,5
73,Rash Behari Bose,3,1
74,Ravi Shankar,10,0
75,Roquia Sakhawat Hussain,6,0
76,Runa Laila,2,1
77,Salman Khan,12,0
78,Sarat Chandra Chattopadhyay,2,1
79,Satyajit Ray,11,1
80,Satyendra Nath Bose,12,2
81,Saurav Ganguly,9,4
82,Shakib Al Hasan,12,5
83,Sharadindu Bandyopadhyay,2,4
84,Sharmila Tagore,1,1
85,Shashanka  {{n.b.}} No Image,1,0
86,Sheikh Mujibur Rahman,13,1
87,Shefali Chowdhury,2,3
88,Siraj ud-Daulah  {{n.b.}} Not Bengali,2,2
89,Sri Aurobindo,7,6
90,Subhas Chandra Bose,12,1
91,Suchitra Sen,4,2
92,Sunil Gangopadhyay,3,1
93,Surya Sen,2,0
94,Swami Vivekananda,6,2
95,Syed Ameer Ali,1,2
96,Syed Mujtaba Ali,3,1
97,Taslima Nasrin,8,9
98,Titumir,6,3
99,Uday Shankar,1,0
100,Upamanyu Chatterjee,1,0
101,Uttam Kumar,5,1
102,Vidyapati   {{n.b.}} Not Bengali,0,0
103,Zainul Abedin,6,0
104,Zahir Raihan,3,0
105,Ziaur Rahman,9,3
# [[User:115ash]] (20) Y: 8 N: 12 
# [[User:Aditya Kabir]] (38) Y: 32 N: 6 
# [[User:Aftabuzzaman]] (22) Y: 18 N: 4 
# [[User:AHLM13]] (29) Y: 7 N: 22 
# [[User:Amitrochates]] (40) Y: 33 N: 7 
# [[User:Anand2202]] (17) Y: 15 N: 2 
# [[User:AsceticRose]] (33) Y: 14 N: 19 
# [[User:Calypsomusic]] (12) Y: 10 N: 2 
# [[User:CosmicEmperor]] (32) Y: 26 N: 6 
# [[User:Ctg4Rahat]] (22) Y: 21 N: 1 
# [[User:devx101]] (6) Y: 1 N: 5 
# [[User:GopalaRamir]] (0) Y: 0 N: 0 
# [[User:Happiest persoN]] (56) Y: 46 N: 10 {{Redflag}} 16 excess votes
# [[User:Kmzayeem]] (56) Y: 35 N: 21 {{Redflag}} 16 excess votes
# [[User:Moony22]] (4) Y: 1 N: 3 
# [[User:Nafsadh]] (40) Y: 32 N: 8 
# [[User:NahidSultan]] (40) Y: 40 N: 0 
# [[User:Rihazrihazrihaz]] (20) Y: 20 N: 0 
# [[User:Rossi101]] (9) Y: 9 N: 0 
# [[User:Royroydeb]] (23) Y: 12 N: 11 
# [[User:Samudrakula]] (15) Y: 14 N: 1 
# [[User:Sharif uddin]] (14) Y: 13 N: 1 
# [[User:Shovon76]] (28) Y: 21 N: 7 
# [[user:Tanweer Morshed]] (37) Y: 23 N: 14 
# [[User:Vanamonde93]] (17) Y: 15 N: 2 
# [[User:Vignesh Mani M]] (12) Y: 11 N: 1 
# [[User:Vyom25]] (24) Y: 21 N: 3 
# [[User:संजीव कुमार]] (43) Y: 43 N: 0 {{Redflag}} 3 excess votes
